name,manufacturer,serving_size,energy_kcal,protein_g,carbohydrate_g,fat_g,sugar_g,sodium_mg,fiber_g,energy_percentage_dv,protein_percentage_dv,carbohydrate_percentage_dv,fat_percentage_dv,sodium_percentage_dv,Lemak jenuh,Natrium,Protein,Karbohidrat total,Energi,Lemak total,Serat pangan,is_toddler_safe
Cerebrofort Marine Gummy Strawberry,Tidak Diketahui,1 g,0.0,1.0,8.0,0.0,6.0,10.0,0.0,1.63,1.67,2.46,0.0,0.67,0.0,0.0,2.0,3.0,2.0,0.0,0.0,True
Pecel sayur dengan lauk,Tidak Diketahui,25.17 g,408.0,25.17,27.07,25.18,0.0,272.0,0.0,18.98,41.95,8.33,37.58,18.13,0.0,0.0,42.0,0.0,19.0,38.0,0.0,True
Teh celup sosro,PT. Sinar Sosro,0 g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
teh cap dandang black tea,Tidak Diketahui,0 g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
"Bawang merah, segar",Tidak Diketahui,1 g,46.0,1.5,9.2,0.3,0.0,7.0,1.7,2.14,2.5,2.83,0.45,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
"Bawang putih, segar",Tidak Diketahui,1.80 g,112.0,4.5,21.3,0.2,0.0,46.0,0.6,5.21,7.5,6.55,0.3,3.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Balichong,Tidak Diketahui,3.60 g,152.0,13.2,22.9,0.8,0.0,120.0,1.5,7.07,22.0,7.05,1.19,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Batatas kelapa kukus,Tidak Diketahui,1.80 g,92.0,1.2,21.0,0.3,0.0,10.0,4.1,4.28,2.0,6.46,0.45,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Kuaci Rebo origial,PT. Gumindo Bogamanis,3 g,110.0,5.0,3.0,9.0,0.0,130.0,3.0,5.12,8.33,0.92,13.43,8.67,0.0,9.0,0.0,0.0,0.0,14.0,10.0,True
KFC Original recipe dada,PT. Fast food indonesia,39 g,390.0,39.0,11.0,21.0,0.0,0.0,0.0,18.14,65.0,3.38,31.34,0.0,0.0,0.0,65.0,0.0,19.0,32.0,0.0,True
KFC Original recipe paha bawah,PT. Fast food indonesia,12 g,130.0,12.0,4.0,8.0,0.0,0.0,0.0,6.05,20.0,1.23,11.94,0.0,0.0,0.0,20.0,0.0,7.0,12.0,0.0,True
KFC Original recipe paha atas,PT. Fast food indonesia,19 g,280.0,19.0,8.0,19.0,0.0,0.0,0.0,13.02,31.67,2.46,28.36,0.0,0.0,0.0,32.0,0.0,14.0,29.0,0.0,True
KFC Original recipe sayap,PT. Fast food indonesia,10 g,130.0,10.0,3.0,8.0,0.0,0.0,0.0,6.05,16.67,0.92,11.94,0.0,0.0,0.0,17.0,0.0,7.0,12.0,0.0,True
"Keribang, ubi, segar",Tidak Diketahui,0.80 g,137.0,1.3,29.8,1.1,0.0,10.0,0.6,6.37,2.17,9.17,1.64,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Kue bangket,Tidak Diketahui,0.90 g,388.0,1.5,80.3,1.2,0.0,67.0,0.0,18.05,2.5,24.71,1.79,4.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
"Lengkuas/Boros laja, segar",Tidak Diketahui,1 g,26.0,1.0,4.7,0.3,0.0,24.0,1.1,1.21,1.67,1.45,0.45,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Cheesecake Factory carrot cake,Tidak Diketahui,5 g,1710.0,15.0,146.0,122.0,117.0,0.0,5.0,79.53,25.0,44.92,182.09,0.0,0.0,0.0,0.0,45.0,80.0,183.0,0.0,False
Tummy yogurt mango carrot,PT.Heavenly Blush,11 g,150.0,3.0,29.0,2.0,18.0,0.0,11.0,6.98,5.0,8.92,2.99,0.0,0.0,0.0,0.0,9.0,7.0,0.0,37.0,False
Corn flakes,Tidak Diketahui,1 g,110.0,2.0,26.0,0.0,3.0,0.0,1.0,5.12,3.33,8.0,0.0,0.0,0.0,0.0,4.0,8.0,6.0,0.0,0.0,True
Eskrim cornetto chocolate,PT. Andrawina Darma Manunggal Mulya,2 g,260.0,3.0,34.0,12.0,22.0,0.0,2.0,12.09,5.0,10.46,17.91,0.0,0.0,0.0,0.0,11.0,13.0,18.0,0.0,False
"Kerokot, segar",Tidak Diketahui,1.10 g,26.0,1.7,3.8,0.4,0.0,4.0,1.0,1.21,2.83,1.17,0.6,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Coklat Lindt 70% Cocoa smooth dark,Tidak Diketahui,3 g,250.0,3.0,17.0,19.0,12.0,0.0,3.0,11.63,5.0,5.23,28.36,0.0,0.0,0.0,0.0,0.0,12.0,29.0,10.0,True
Teh Kotak Less Sugar,Tidak Diketahui,0 g,70.0,0.0,19.0,0.0,0.0,5.0,0.0,3.26,0.0,5.85,0.0,0.33,0.0,1.0,0.0,6.0,4.0,0.0,0.0,False
Granola creation tropical fruit and nuts,PT. Lemonilo Indonesia Sehat,2 g,162.0,7.0,23.0,5.0,5.0,0.0,2.0,7.53,11.67,7.08,7.46,0.0,0.0,0.0,12.0,0.0,8.0,8.0,0.0,True
Go Natural fruit and nut delight,Tidak Diketahui,5.40 g,230.0,6.2,20.7,13.5,12.1,0.0,5.4,10.7,10.33,6.37,20.15,0.0,0.0,0.0,0.0,0.0,11.0,21.0,18.0,False
Carman's fruit and nut,Tidak Diketahui,3.10 g,183.0,4.1,25.1,6.7,7.8,0.0,3.1,8.51,6.83,7.72,10.0,0.0,0.0,0.0,0.0,0.0,9.0,10.0,11.0,True
Sonice Chicken Stick,PT. So Good Food Manufacturing,13 g,250.0,13.0,13.0,17.0,0.0,0.0,0.0,11.63,21.67,4.0,25.37,0.0,0.0,0.0,22.0,0.0,12.0,26.0,0.0,True
Sonice Chicken karage,PT. So Good Food Manufacturing,12 g,300.0,12.0,21.0,18.0,0.0,0.0,0.0,13.95,20.0,6.46,26.87,0.0,0.0,0.0,20.0,0.0,14.0,27.0,0.0,True
"Ikan Tongkol, segar",Tidak Diketahui,2.10 g,100.0,13.7,8.0,1.5,0.0,202.0,0.0,4.65,22.83,2.46,2.24,13.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
